handle_name,location
johnmpotter,Los Angeles
tomlitchfield,Petaluma, CA
donnfelker,NJ
jbaylina,BARCELONA
VladWulf,London, England
lioryaffe,Israel
effectsToCause,New Jersey, USA
vladimire,Montréal, Québec
DexterTalbert,Texas, USA
CryptoFonz,Beverly Hills, CA
dangershony,London, England
fabdaRice,Los Angeles, CA
bgold,San Francisco, CA
dev0tion_,Belgium
Oleg326756,Sweden
hrishikeshio,World
theduchess96,T r i n i d a d
alexandrag2254,San Francisco, CA
iamchrissmith,
iedemam,
